ID,ConvID,Context,Disclosure Type,Has Parent Tweet,Has Cards,Date,Language,Permalink,is part of conversation?,Author ID,Author Name,is Author verified,Text,Replies,Retweets,Favorites,Mentions,is Reply?,is Retweet?,Reply to User ID,Reply To User Name,Quoted Tweet ID, Quoted Tweet Conv. ID,Quoted Tweet Type,Quoted Tweets User ID,Quoted Tweet User
1196919719372021760,1196919719372021760,tweet,,False,True,19.11.2019 22:34:33,en,/Politics_PR/status/1196919719372021760,False,16711026,R. Saddler 📎🗽🌊🌊🌊,True, Devin Nunes Humiliates Himself By Accusing Democrats of “Drug Deal” http://j.mp/2qjzTLR&nbsp;pic.twitter.com/xOZRFvM9Jw,1,12,21,,False,True,,,,,,,
1196919646747811840,1196841074318286848,tweet,,True,False,19.11.2019 22:34:16,en,/docrocktex26/status/1196919646747811840,True,16582131,Propane Jane™,True, Pretty much. I don’t know if the IA polls will be able to accurately predict how the caucus will shake out with this many candidates in the field; but apart from that the lack of diversity just doesn’t make it a representative sample that can be extrapolated to other regions.https://twitter.com/docrocktex26/status/691627430683881473&nbsp;…,0,0,1,JulyWolfe,True,True,537981473,JulyWolfe,691627430683881473,691611726588981250,tweet,16582131,docrocktex26
1196919522873098240,1196586617118449664,tweet,,True,False,19.11.2019 22:33:46,en,/mcspocky/status/1196919522873098240,True,18082945,McSpocky™ 👽🌊,True, WE use a different card for gasoline. ,0,0,1,DebShaw18,True,True,890185536966729732,DebShaw18,,,,,
1196919494578495488,1196919494578495488,tweet,,False,True,19.11.2019 22:33:39,en,/SenateDems/status/1196919494578495488,False,73238146,Senate Democrats,True, Funding for our nation’s HBCUs and other minority-serving institutions expired at the end of September.  Today @SenBobCasey asked consent to pass the FUTURE Act to reauthorize this crucial funding.  @SenAlexander objected for a FIFTH time.pic.twitter.com/j9A5DUL5gm,7,32,54,SenBobCasey SenAlexander,False,True,76649729,SenAlexander,,,,,
1196919144588795904,1196586617118449664,tweet,,True,False,19.11.2019 22:32:16,en,/mcspocky/status/1196919144588795904,True,18082945,McSpocky™ 👽🌊,True, She&#39;s doing pretty well. The pt is for endurance to help with fatigue and for balance. It&#39;s not too bad; just enough to be annoying for her sometimes.,0,0,2,justcallmecovfe,True,True,2481506844,justcallmecovfe,,,,,
1196918573316395008,1196918573316395008,tweet,,False,True,19.11.2019 22:30:00,en,/emilyslist/status/1196918573316395008,False,63262233,EMILY&#39;s List,True, We’re targeting 45 (!!!) vulnerable House incumbents in 2020; including Devin Nunes (CA-22); who repeatedly voted to defund Planned Parenthood and voted to undermine equal pay protections for women.It’s time to REPLACE him with a pro-choice Democratic woman.pic.twitter.com/CJZo8LRmbA,2,25,110,,False,True,,,,,,,
1196918468995698693,1196841074318286848,tweet,,True,False,19.11.2019 22:29:35,en,/docrocktex26/status/1196918468995698693,True,16582131,Propane Jane™,True, Yup; looks like the makings of a diverse coalition for whichever 1 of those candidates rises to the top. I also think the polls are murky b/c a lot of like minded people are quietly deliberating on the candidates who aren’t the front runners. Won’t be clear until voting starts.,2,1,4,52Rural,True,True,1073008458826506251,52Rural,,,,,
1196917939254915072,1196586617118449664,tweet,,True,False,19.11.2019 22:27:29,en,/mcspocky/status/1196917939254915072,True,18082945,McSpocky™ 👽🌊,True, We don&#39;t have a whole lot in our checking; but the loss would have caused us a lot of problems if we hadn&#39;t gotten it straightened out. Wow $25k would have caused me a heart attack!,0,0,3,mama_seedy,True,True,17346357,mama_seedy,,,,,
1196917513159729153,1196586617118449664,tweet,,True,False,19.11.2019 22:25:47,en,/mcspocky/status/1196917513159729153,True,18082945,McSpocky™ 👽🌊,True, Thankfully no lymphedema.The pa is for endurance so their is less fatigue; and to help with balance.,1,0,1,momfarts,True,True,135382050,momfarts,,,,,
1196917313112428544,1196586617118449664,tweet,,True,False,19.11.2019 22:24:59,en,/mcspocky/status/1196917313112428544,True,18082945,McSpocky™ 👽🌊,True, Maybe one of the thefts of credit card/debit card numbers from online companies we hear about all to often; I don&#39;t know.,1,0,1,syrhc_,True,True,4308713549,syrhc_,,,,,
1196917217050398722,1196841074318286848,tweet,,True,False,19.11.2019 22:24:36,en,/docrocktex26/status/1196917217050398722,True,16582131,Propane Jane™,True, I don’t think that’ll happen but if it came down to those 4; for me it’d be between Warren and Biden. I’m not voting for Bernie or Pete unless they win the nomination. Period.,2,1,17,Philanx,True,True,47800262,Philanx,,,,,
1196916596259926017,1196841074318286848,tweet,,True,False,19.11.2019 22:22:08,en,/docrocktex26/status/1196916596259926017,True,16582131,Propane Jane™,True,  I miss Gillibrand; glad she’s still there to kick ass in the Senate though.,0,0,7,AgeDemands anglib78,True,True,23085107,anglib78,,,,,
1196916567604264960,1196586617118449664,tweet,,True,False,19.11.2019 22:22:02,en,/mcspocky/status/1196916567604264960,True,18082945,McSpocky™ 👽🌊,True, Seems like this happens too often to people. Hope you got it fixed ok.,1,0,1,kpoluk49ui,True,True,800667343114248192,kpoluk49ui,,,,,
